startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,A glance through San Sebastian's Architecture Era's,,,,,,,,https://media.revistavanityfair.es/photos/64f70fe6579b26f9038a3589/16:9/w_2560%2Cc_limit/TERRES-FOTO-2.jpg,
1700,,,,2024,,,,,18th Century of San Sebastian,,,,,,,,,
1723,,,,2024,,,,,Plaza de la Constitución,"Plaza de la Constitución, a historic and vibrant square in the heart of San Sebastián's Old Town, epitomizes the city's rich cultural tapestry. Built in the early 19th century after a devastating fire, its neoclassical architecture features uniform facades and numbered balconies, harking back to its days as a bullring. Today, the square thrives as a social and cultural hub, hosting traditional Basque festivals, concerts during Semana Grande, and various civic events. Surrounded by bustling bars, cafes, and restaurants, it offers a perfect spot for enjoying local pintxos and soaking in the historic ambiance, making it a must-visit landmark for both locals and tourists.",https://turismo.euskadi.eus/contenidos/h_cultura_y_patrimonio/0000011193_h5_rec_turismo/es_11193/images/FP_plazaconstituciondesansebastian.jpg,,,,,,,MidnightBlue
1774,,,,2024,,,,,La basilica de Santa Maria,,,,,,,,,IndianRed
1800,,,,2024,,,,,19th Century of San Sebastian,,,,,,,,,
1887,,,,2024,,,,,San Sebastian City Hall,,,,,,,,,EmeraldGreen
1893,,,,2024,,,,,Palacio Miramar,,,,,,,,,DarkPink
1900,,,,2024,,,,,20th Century of San Sebastian,,,,,,,,,
1912,,,,2024,,,,,Maria Cristina Hotel,,,,,,,,,Yellow
1912,,,,2024,,,,,Victoria Eugenia Theatre ,,,,,,,,,Orange
2000,,,,2024,,,,,21st Century of San Sebastian ,,,,,,,,,
1999,,,,2024,,,,,Kursaal Donostia,,https://media.revistavanityfair.es/photos/64f70fe6579b26f9038a3589/16:9/w_2560%2Cc_limit/TERRES-FOTO-2.jpg,,,,,,,Purple
,,,,2024,,,,,,,,,,,,,,
