startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,Timeline title,,,,,,title,,,
1882,,,,1903,,,,,First aliyah,"The First Aliyah, occurring between 1882 and 1903, marked the beginning of significant Jewish immigration to Palestine, then part of the Ottoman Empire. Prompted by persecution and pogroms in Eastern Europe and inspired by Zionist ideals (the belief that Jews have a right to an indenpendent state in the land of Israel/Palestine), approximately 25,000-35,000 Jews, mainly from Russia and Romania, settled in the region. They established agricultural communities and laid the foundations for the modern Jewish state, despite facing numerous challenges such as harsh conditions, diseases, and economic hardships. This wave of immigration played a crucial role in the early development of the Jewish presence in Palestine.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/PikiWiki_Israel_20841_The_Palmach.jpg/2560px-PikiWiki_Israel_20841_The_Palmach.jpg,The Palmach Archive via the PikiWiki - Israel free image collection project,Jews waiting to make aliyah to Israel,,,,,
1930,,,,,,,,,5th aliyah due to Nazi persecution,The first large-scale influx of Jews occurred due to Nazi persecution during British mandate in 1930.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/IMMIGRANTS_FROM_GERMANY_BEFORE_DEBARKATION_AT_THE_JAFFA_PORT._עולים_מגרמניה_על_סיפון_אונייה_העושה_את_דרכה_לנמל_יפו.D420-151.jpg/1280px-thumbnail.jpg,National Photo Collection of Israel,Immigrants from Germany arriving at the port of Jaffa in 1933,,,,,
1947,,,,,,,,,Division of the two states: an Arab state and a Jewish state. (UN partition plan: Resolution 181 voted by the UN General Assembly),"The Jewish community in Palestine started growing, and it led to increased conflict between Palestinians who wanted self rule and Jews who believed they also had a right to the region. In this context, Britain joined the United Nations in 1947 and issued Resolution 181. This resolution divided the region into two states: an Arab state and a Jewish state. Which the Jews accepted while the Arabs rejected it
",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/UN_Palestine_Partition_Versions_1947.jpg/800px-UN_Palestine_Partition_Versions_1947.jpg,,UN proposed partition plan,,,,,
1948,,,,,,,,,Israel wins the Independence war,"In 1948, after the Arabs rejected the partition plan, they launched a war against the Jews. The Jews won this war, and proclaimed the independent state of Israel for the first time, with 77 per cent of the territory of mandatory Palestine, including western Jerusalem. The Palestinians call this event ""Nakba"" which translates to the catastrophe. 700k Palestinians were displaced from Israel proper
",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Raising_the_Ink_Flag_at_Umm_Rashrash_%28Eilat%29.jpg/1024px-Raising_the_Ink_Flag_at_Umm_Rashrash_%28Eilat%29.jpg,,Israeli soldiers raise the flag to mark the end of the war,,,,,
1948,,,,1979,,,,,Jewish exodus from the Muslim world,"In the aftermath of the 1948 war, other Muslim countries expelled their Jews as retaliation for the expulsion of the Palestinians. Approximately 650k Jews migrated, fled, or were expelled from Muslim-majority countries throughout Africa and Asia",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Yemenites_go_to_Aden.jpg/2560px-Yemenites_go_to_Aden.jpg,,Jewish Yemenite family walking through the desert to a reception camp,,,,,
1950,,,,,,,,,"Absent Property Act 1950
","This law codifies the right for Jews, and only Jews to claim land and property owned by them, before the establishment of the State of Israel in 1948. Other groups who owned land do not have this right",https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.aljazeera.com%2Fmritems%2Fimagecache%2Fmbdxxlarge%2Fmritems%2FImages%2F2019%2F6%2F24%2Fe18e41fe353442b88fab290179a816e9_18.jpg&f=1&nofb=1&ipt=d4241614a08af5bd147d0e26a638708c540d764ddc7c5a2b082d5102e75c9296&ipo=images,,Palestinian Refugees,,,,,
1967,,,,,,,,,Israel takes all Gaza,"In 1967, after the Six-Day War, Israel gained control of all of Gaza and the West Bank, and also the Sinai penninsula, leading to a new exodus of 280,000 to 325,000 Palestinians. This war marks the official beginning of the occupation of these 2 territories, which are collectively known as Palestine. In the immediate aftermath of this war, Israel started pursuing an explicit settlement policy of bringning in Jews into these 2 territories, particularly the more sparely populated West Bank",https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.redd.it%2Faboyj5kv5mg61.jpg&f=1&nofb=1&ipt=6e608011840677cc2b514d1dbd4352562d2e5cd0e837c47a730c1729c0ea965c&ipo=images,,Territorial changes after the war,,,,,
1973,,,,,,,,,Yom Kippur War,"The Yom Kippur War, fought in October 1973, was a conflict between Israel and a coalition of Arab states led by Egypt and Syria. The war began on Yom Kippur, the holiest day in Judaism, with a surprise attack by the Arab coalition. Despite initial setbacks, Israel managed to regroup and launch counteroffensives, eventually regaining lost territories. The war resulted in significant casualties on both sides and had lasting geopolitical effects. It led to increased U.S. and Soviet involvement in the region, ultimately paving the way for subsequent peace negotiations, including the Camp David Accords between Israel and Egypt.",https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.ytimg.com%2Fvi%2F1lAmCAYlKYE%2Fmaxresdefault.jpg&f=1&nofb=1&ipt=1a7ea0833bf01d2453f9e882500f9bf6591b28b975873a7026e3b2ff6d538610&ipo=images,,,,,,,
1979,,,,,,,,,"Egypt and Israel make peace, Sinai returned","The peace between Israel and Egypt, marked by the Camp David Accords in 1978 and the Egypt-Israel Peace Treaty in 1979, ended decades of conflict between the two nations. As part of the agreement, Israel returned the Sinai Peninsula to Egypt, which it had occupied since the Six-Day War in 1967. This historic treaty established diplomatic relations and mutual recognition, significantly reducing regional tensions and setting a precedent for future Arab-Israeli peace efforts.",https://upload.wikimedia.org/wikipedia/commons/7/75/Sadat_Carter_Begin_handshake_%28cropped%29_-_USNWR.jpg,,"Sadat, Carter and Begin at the signing ceremony",,,,,
